Category,canceled,failed,successful,suspended,undefined,total,PercentageSuccessful,PercentageFailed,PercentageCanceled,PercentageSuspended,PercentageUndefined
3D Printing,40,168,129,8,,345,37.39130435,48.69565217,11.5942029,2.31884058,0
Apps,457,2309,223,12,,3001,7.430856381,76.94101966,15.22825725,0.399866711,0
Camera Equipment,28,83,101,4,,216,46.75925926,38.42592593,12.96296296,1.851851852,0
DIY Electronics,54,190,210,1,,455,46.15384615,41.75824176,11.86813187,0.21978022,0
Fabrication Tools,13,77,37,1,,128,28.90625,60.15625,10.15625,0.78125,0
Flight,35,155,53,5,,248,21.37096774,62.5,14.11290323,2.016129032,0
Gadgets,245,786,437,50,,1518,28.78787879,51.77865613,16.13965744,3.293807642,0
Hardware,291,1227,824,25,,2367,34.81199831,51.83776933,12.29404309,1.056189269,0
Makerspaces,13,72,49,,,134,36.56716418,53.73134328,9.701492537,0,0
Robots,33,145,146,7,,331,44.10876133,43.80664653,9.96978852,2.114803625,0
Software,249,1256,256,4,1,1766,14.49603624,71.1211778,14.09966025,0.226500566,0.056625142
Sound,48,129,135,3,,315,42.85714286,40.95238095,15.23809524,0.952380952,0
Space Exploration,15,78,80,4,,177,45.19774011,44.06779661,8.474576271,2.259887006,0
Technology,585,2571,820,52,,4028,20.35749752,63.82820258,14.52333664,1.290963257,0
Wearables,110,289,207,11,,617,33.54943274,46.83954619,17.82820097,1.782820097,0
Web,297,1451,158,17,,1923,8.216328653,75.4550182,15.44461778,0.884035361,0